;B. A.;Gönül;Braun;Frühlingstrasse 185;Windischeschenbach;02921/337712;goenuel.braun78@test.de;Änderungsschneider/-in (IH/Hw)
;BBA;Raik;Fischer;Wilhelmstrasse 139;Niederstotzingen;0985/28947871;alako64@gmail.de;Anlagenmechaniker/-in (Monoberuf) (IH/HwEx)
;B. Sc.;Carlos;Pitamau;Blumenstrasse 117c;Suhl;0317/8444946;carlos.pitamau96@gmail.com;Anlagenmechaniker/-in für Sanitär-, Heizungs- und Klimatechnik (IH/Hw)
;LL. B.;Nermin;Favuwadeson;Ahornweg 169;Treuchtlingen;07285/342354318;nermin.favuwadeson84@surfnet.de;Asphaltbauer/-in (IH/HwEx)
;B. Ed.;Udo;Schneider;Erlenweg 59;Neckarsteinach;0935/114122485;udo.schneider77@outloock.de;Aufbereitungsmechaniker/-in (alle FR - IH/HwEx)
;B. Eng.;Rigo;Foluflodeson;Feldstrasse 278;Blumberg;07851/3752846;oroli70@surfnet.de;Ausbaufacharbeiter/-in (§ 42r HwO) (Hw)
;B. F. A.;Bianca;Rarebodoweiner;Kurze Strasse 215;Schriesheim;072276/5354669;asuta85@outloock.de;Ausbaufacharbeiter/-in (IH/Hw)
;B. Mus.;Dirk;Tasasegestein;Nelkenstrasse 212;Balve;0382851/11165679;orile77@gmx.de;Ausbaufachwerker/-in (§ 42r HwO) (Hw)
;B. M. A.;Christos;Fäwadohein;Buchenweg 4;Allendorf (Lumda);029959/5557479;ewofi80@gmail.de;Ausbaufachwerker/-in (§ 66 BBiG) (IH)
;M. A.;Julian;Jüwufo;Steinstrasse 64;Regis-Breitingen;03137/2883781;ewofi77@outloock.de;Autofachwerker/-in (§ 42r HwO) (Hw)
;M. Sc.;Violetta;Läralode;Marktplatz 205;Leer (Ostfriesland);0671/177957922;violetta.laeralode70@gmail.com;Automatenfachmann/-fachfrau FR Automatenmechatronik (IH)
;M. Eng.;Murat;Dotufuhein;Weidenweg 111;Schwentinental;0588/6313884;murat.dotufuhein90@t-online.de;Bau- und Metallmaler/-in (§ 42r HwO) (Hw)
;LL. M.;Bernd;Lotubehein;Birkenstrasse 116;Werne;0264/24198179;iteze60@gmx.de;Baufacharbeiter/-in (§ 42r HwO) (Hw)
;M. F. A.;Janina;Guwedaweiner;Kirchweg 275;Altdorf b.Nürnberg;01221/981451;janina.guwedaweiner60@gmail.com;Baugeräteführer/-in (IH/HwEx)
;M. Mus.;Karl-Peter;Bauer;Asternweg 6;Backnang;0535/742311891;karl-peter.bauer64@test.de;Bauten- und Objektbeschichter/-in (§ 42r HwO) (Hw)
